"id","year","month","day","from_time","to_time","court","odds","created_at","updated_at","delete_flg","apply_court","empty_court"
152,2020,2,24,15,17,"0",3.00,2020/01/04 18:22:22.867,2020/01/10 20:52:15.088,"0",24,8
153,2020,2,24,17,19,"0",0.50,2020/01/04 18:22:22.960,2020/01/10 20:52:15.187,"0",4,8
154,2020,2,24,19,21,"0",0.00,2020/01/04 18:22:23.074,2020/01/10 20:52:15.272,"0",0,8
155,2020,2,24,9,11,"1",5.06,2020/01/04 18:22:30.228,2020/01/10 20:52:27.687,"0",81,16
156,2020,2,24,11,13,"1",6.62,2020/01/04 18:22:30.330,2020/01/10 20:52:27.772,"0",106,16
157,2020,2,24,13,16,"1",9.25,2020/01/04 18:22:30.424,2020/01/10 20:52:27.853,"0",148,16
159,2020,2,24,11,13,"2",7.62,2020/01/04 18:22:39.076,2020/01/10 20:52:38.745,"0",61,8
161,2020,2,24,9,11,"3",8.62,2020/01/04 18:22:45.940,2020/01/10 20:52:46.912,"0",69,8
163,2020,2,24,13,16,"3",13.62,2020/01/04 18:22:46.273,2020/01/10 20:52:47.078,"0",109,8
164,2020,2,29,9,11,"0",8.38,2020/01/04 18:24:09.353,2020/01/10 20:52:55.162,"0",67,8
165,2020,2,29,11,13,"0",7.38,2020/01/04 18:24:09.446,2020/01/10 20:52:55.247,"0",59,8
166,2020,2,29,13,15,"0",6.75,2020/01/04 18:24:09.540,2020/01/10 20:52:55.333,"0",54,8
167,2020,2,29,15,17,"0",6.75,2020/01/04 18:24:09.634,2020/01/10 20:52:55.418,"0",54,8
168,2020,2,29,17,19,"0",1.38,2020/01/04 18:24:09.734,2020/01/10 20:52:55.510,"0",11,8
169,2020,2,29,19,21,"0",0.62,2020/01/04 18:24:09.828,2020/01/10 20:52:55.596,"0",5,8
170,2020,2,29,9,11,"1",7.00,2020/01/04 18:24:16.708,2020/01/10 20:53:03.504,"0",84,12
171,2020,2,29,11,13,"1",6.50,2020/01/04 18:24:16.816,2020/01/10 20:53:03.591,"0",78,12
172,2020,2,29,13,16,"1",10.67,2020/01/04 18:24:16.912,2020/01/10 20:53:03.749,"0",128,12
173,2020,2,29,9,11,"2",7.00,2020/01/04 18:24:23.666,2020/01/10 20:53:12.729,"0",56,8
174,2020,2,29,11,13,"2",7.50,2020/01/04 18:24:23.866,2020/01/10 20:53:12.824,"0",60,8
175,2020,2,29,13,16,"2",8.75,2020/01/04 18:24:23.965,2020/01/10 20:53:12.913,"0",70,8
176,2020,2,29,9,11,"3",8.12,2020/01/04 18:24:30.511,2020/01/10 20:53:20.017,"0",65,8
177,2020,2,29,11,13,"3",12.88,2020/01/04 18:24:30.631,2020/01/10 20:53:20.306,"0",103,8
178,2020,2,29,13,16,"3",18.00,2020/01/04 18:24:30.725,2020/01/10 20:53:20.442,"0",144,8
14,2020,2,1,9,11,"0",5.00,2020/01/04 17:24:29.255,2020/01/10 20:47:15.307,"0",40,8
60,2020,2,9,11,13,"0",11.00,2020/01/04 17:36:07.771,2020/01/10 20:48:52.492,"0",44,4
77,2020,2,11,15,17,"0",5.88,2020/01/04 17:36:44.663,2020/01/10 20:49:23.080,"0",47,8
96,2020,2,15,11,13,"1",5.81,2020/01/04 17:37:36.698,2020/01/10 20:50:04.307,"0",93,16
